state,expenditure,year,raw,inf_adj,inf_adj_perchild
Minnesota,TANFbasic,1997,227962.291,325038.03125,0.243812054395676
Mississippi,TANFbasic,1997,60023.888,85584.5390625,0.104234486818314
Missouri,TANFbasic,1997,218708.206,311843.1875,0.208139821887016
Montana,TANFbasic,1997,42503.869,60603.76953125,0.245696604251862
Nebraska,TANFbasic,1997,48818.949,69608.0703125,0.146436631679535
Nevada,TANFbasic,1997,40248.916,57388.56640625,0.12347973883152
New Hampshire,TANFbasic,1997,43663.523,62257.25390625,0.195574566721916
New Jersey,TANFbasic,1997,425775.695,607088.5625,0.285394221544266
New Mexico,TANFbasic,1997,131010.621,186800.34375,0.344915449619293
New York,TANFbasic,1997,2656535.582,3787798,0.77077043056488
North Carolina,TANFbasic,1997,269843.544,384754.0625,0.19582562148571
North Dakota,TANFbasic,1997,19042.344,27151.359375,0.152559727430344
Ohio,TANFbasic,1997,697067.991,993908.3125,0.325150817632675
Oklahoma,TANFbasic,1997,94477.784,134710.328125,0.142654165625572
Oregon,TANFbasic,1997,174944.207,249442.671875,0.284525513648987
Pennsylvania,TANFbasic,1997,702077.847,1001051.5625,0.322197407484055
Rhode Island,TANFbasic,1997,118222.326,168566.265625,0.65698629617691
South Carolina,TANFbasic,1997,71506.296,101956.625,0.0962788686156273
South Dakota,TANFbasic,1997,17798.786,25378.244140625,0.116376593708992
Tennessee,TANFbasic,1997,130177.762,185612.828125,0.129235878586769
Texas,TANFbasic,1997,365110.872,520590.15625,0.0874896422028542
Utah,TANFbasic,1997,58340.686,83184.5546875,0.111665666103363
Vermont,TANFbasic,1997,53276.87,75964.359375,0.479788035154343
Virginia,TANFbasic,1997,161336.974,230040.90625,0.129713997244835
Washington,TANFbasic,1997,499356.451,712003,0.458941370248795
West Virginia,TANFbasic,1997,88522.73,126219.359375,0.283281892538071
Wisconsin,TANFbasic,1997,206221.364,294038.9375,0.204650610685349
Wyoming,TANFbasic,1997,11946.193,17033.375,0.119571894407272
Alabama,othercashserv,1997,426958.09375,608774.4375,0.51275235414505
Alaska,othercashserv,1997,172966.875,246623.3125,1.25263893604279
Arizona,othercashserv,1997,667569.1875,951847.6875,0.730325937271118
Arkansas,othercashserv,1997,328777.84375,468785,0.652533113956451
California,othercashserv,1997,6852416,9770457,1.02215051651001
Colorado,othercashserv,1997,888760.8125,1267231.875,1.16803419589996
Connecticut,othercashserv,1997,578823.25,825310.0625,0.965568542480469
Delaware,othercashserv,1997,139107.6875,198345.484375,1.00733613967896
District of Columbia,othercashserv,1997,226199.21875,322524.1875,2.53832125663757
Florida,othercashserv,1997,1697162.5,2419884.25,0.657347857952118
Georgia,othercashserv,1997,916803.375,1307216.125,0.609497249126434
Hawaii,othercashserv,1997,150910.578125,215174.53125,0.663295924663544
Idaho,othercashserv,1997,182677.59375,260469.25,0.685468852519989
Illinois,othercashserv,1997,2713839.75,3869504.75,1.14112401008606
Indiana,othercashserv,1997,816023.9375,1163520.625,0.714526891708374
Iowa,othercashserv,1997,497033.4375,708690.75,0.914433777332306
Kansas,othercashserv,1997,261920.515625,373457.0625,0.502610325813293
Kentucky,othercashserv,1997,517374.25,737693.5625,0.695644617080688
Louisiana,othercashserv,1997,578665.125,825084.625,0.629242360591888
Maine,othercashserv,1997,369099.15625,526276.8125,1.63308644294739
Maryland,othercashserv,1997,787865.9375,1123371.75,0.811623215675354
