state,expenditure,year,raw,inf_adj,inf_adj_perchild
Texas,TANFbasic,1997,365110.872,520590.1563,0.087489642
Utah,TANFbasic,1997,58340.686,83184.55469,0.111665666
Vermont,TANFbasic,1997,53276.87,75964.35938,0.479788035
Virginia,TANFbasic,1997,161336.974,230040.9063,0.129713997
Washington,TANFbasic,1997,499356.451,712003,0.45894137
West Virginia,TANFbasic,1997,88522.73,126219.3594,0.283281893
Wisconsin,TANFbasic,1997,206221.364,294038.9375,0.204650611
Wyoming,TANFbasic,1997,11946.193,17033.375,0.119571894
Alabama,othercashserv,1997,426958.0938,608774.4375,0.512752354
Alaska,othercashserv,1997,172966.875,246623.3125,1.252638936
Arizona,othercashserv,1997,667569.1875,951847.6875,0.730325937
Arkansas,othercashserv,1997,328777.8438,468785,0.652533114
California,othercashserv,1997,6852416,9770457,1.022150517
Colorado,othercashserv,1997,888760.8125,1267231.875,1.168034196
Connecticut,othercashserv,1997,578823.25,825310.0625,0.965568542
Delaware,othercashserv,1997,139107.6875,198345.4844,1.00733614
District of Columbia,othercashserv,1997,226199.2188,322524.1875,2.538321257
Florida,othercashserv,1997,1697162.5,2419884.25,0.657347858
Georgia,othercashserv,1997,916803.375,1307216.125,0.609497249
Hawaii,othercashserv,1997,150910.5781,215174.5313,0.663295925
Idaho,othercashserv,1997,182677.5938,260469.25,0.685468853
Illinois,othercashserv,1997,2713839.75,3869504.75,1.14112401
Indiana,othercashserv,1997,816023.9375,1163520.625,0.714526892
Iowa,othercashserv,1997,497033.4375,708690.75,0.914433777
Kansas,othercashserv,1997,261920.5156,373457.0625,0.502610326
Kentucky,othercashserv,1997,517374.25,737693.5625,0.695644617
Louisiana,othercashserv,1997,578665.125,825084.625,0.629242361
Maine,othercashserv,1997,369099.1563,526276.8125,1.633086443
Maryland,othercashserv,1997,787865.9375,1123371.75,0.811623216
Massachusetts,othercashserv,1997,1373726.375,1958715.75,1.258940101
Michigan,othercashserv,1997,2218318.25,3162969.75,1.16163981
Minnesota,othercashserv,1997,1466506.75,2091005.875,1.56847012
Mississippi,othercashserv,1997,251208.1094,358182.875,0.436235428
Missouri,othercashserv,1997,606903.8125,865348.5,0.577577055
Montana,othercashserv,1997,149710.125,213462.875,0.865409911
Nebraska,othercashserv,1997,312903.0625,446150.0938,0.938579679
Nevada,othercashserv,1997,207516.0781,295885,0.636639059
New Hampshire,othercashserv,1997,224181.4688,319647.1875,1.004137754
New Jersey,othercashserv,1997,1475296.25,2103538.25,0.9888798
New Mexico,othercashserv,1997,227451.375,324309.5625,0.598817825
