state,variable,year,raw
California,PK12ed,2011,55999628
Colorado,PK12ed,2011,6929558
Connecticut,PK12ed,2011,7801635
Delaware,PK12ed,2011,1534859
District of Columbia,PK12ed,2011,1859662
Florida,PK12ed,2011,22954464
Georgia,PK12ed,2011,14997574
Hawaii,PK12ed,2011,1737036
Idaho,PK12ed,2011,1778035
Illinois,PK12ed,2011,22100446
Indiana,PK12ed,2011,8552264
Iowa,PK12ed,2011,4715466
Kansas,PK12ed,2011,4267293
Kentucky,PK12ed,2011,5896353
Louisiana,PK12ed,2011,7312207
Maine,PK12ed,2011,2218648
Maryland,PK12ed,2011,10729263
Massachusetts,PK12ed,2011,12087923
Michigan,PK12ed,2011,15667635
Minnesota,PK12ed,2011,8485160
Mississippi,PK12ed,2011,3727935
Missouri,PK12ed,2011,8201256
Montana,PK12ed,2011,1458156
Nebraska,PK12ed,2011,3086233
Nevada,PK12ed,2011,3643011
New Hampshire,PK12ed,2011,2510087
New Jersey,PK12ed,2011,21627396
New Mexico,PK12ed,2011,2964860
New York,PK12ed,2011,50319248
North Carolina,PK12ed,2011,11790177
North Dakota,PK12ed,2011,1057989
Ohio,PK12ed,2011,18631904
Oklahoma,PK12ed,2011,4619381
Oregon,PK12ed,2011,5377137
Pennsylvania,PK12ed,2011,22022980
Rhode Island,PK12ed,2011,2108166
South Carolina,PK12ed,2011,6348464
