school,public_private,overall_score,peer_assessment_score,graduation_and_retention_rank,average_first_year_retention_rate,predicted_graduation_rate,actual_graduation_rate,over_underperformance,pell_gradrate,social_mobility_rank,faculty_resources_rank,percent_of_classes_under_20,percent_of_classes_of_50_or_more_students,student_faculty_ratio,selectivity_rank,sat_act_25th_percentile,sat_act_75th_percentile,first_year_students_in_top_10_percent_of_high_school_class,acceptance_rate,financial_resources_rank,average_alumni_giving_rate
Boise State University (ID),NA,NA,2.6,NA,NA,46,NA,NA,285,NA,NA,2,16,NA,NA,7,NA,NA,NA,NA,NA
Cardinal Stritch University (WI),NA,NA,1.8,NA,NA,51,NA,NA,285,NA,NA,2,8,NA,NA,3,NA,NA,NA,NA,NA
Carson-Newman University (TN),NA,NA,2.1,NA,NA,51,NA,NA,119,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
Clark Atlanta University,NA,NA,2.2,NA,NA,45,NA,NA,75,NA,NA,NA,11,NA,NA,7,NA,NA,NA,NA,NA
Cleveland State University,NA,NA,2.2,NA,NA,45,NA,NA,134,NA,NA,NA,15,NA,NA,5,NA,NA,NA,NA,NA
Delaware State University,NA,NA,2.3,NA,NA,40,NA,NA,96,NA,NA,NA,9,NA,NA,10,NA,NA,NA,NA,NA
Eastern Michigan University,NA,NA,2.3,NA,NA,45,NA,NA,214,NA,NA,NA,13,NA,NA,2,NA,NA,NA,NA,NA
East Tennessee State University,1,NA,2.1,NA,8,41,8,4,214,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA
Ferris State University (MI),NA,NA,2.1,NA,NA,50,NA,NA,285,NA,NA,9,NA,NA,NA,2,NA,NA,NA,NA,NA
Georgia Southern University,NA,NA,2.4,NA,NA,50,NA,NA,113,NA,NA,NA,18,NA,NA,5,NA,NA,NA,NA,NA
Grand Canyon University (AZ),1,NA,1.8,NA,8,39,6,NA,42,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA
Husson University (ME),NA,NA,1.7,NA,NA,55,NA,NA,70,NA,NA,NA,12,NA,NA,3,NA,NA,NA,NA,NA
Indiana State University,NA,NA,2.5,NA,NA,41,NA,NA,78,NA,NA,NA,11,NA,NA,6,NA,NA,NA,NA,NA
Indiana Univ. of Pennsylvania,NA,NA,2.1,NA,NA,56,NA,NA,138,NA,NA,3,8,NA,NA,5,NA,NA,NA,NA,NA
Jackson State University (MS),NA,NA,2,NA,NA,37,6,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kennesaw State University (GA),NA,NA,2.4,NA,NA,43,NA,NA,90,NA,NA,NA,16,NA,NA,2,NA,NA,NA,NA,NA
Lamar University (TX),NA,NA,1.9,NA,NA,27,NA,NA,335,NA,NA,NA,15,NA,NA,1,NA,NA,NA,NA,NA
Liberty University (VA),NA,NA,1.7,NA,NA,55,NA,NA,335,NA,NA,3,24,5,NA,1,NA,NA,NA,NA,NA
Lindenwood University (MO),NA,NA,1.8,NA,NA,50,NA,NA,224,NA,NA,2,NA,NA,NA,5,NA,NA,NA,NA,NA
Marshall University (WV),NA,NA,2.4,NA,NA,46,NA,NA,147,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
Metropolitan State University (MN),1,NA,1.8,NA,8,33,6,NA,328,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA
Middle Tennessee State Univ.,NA,NA,2.2,NA,NA,44,NA,NA,80,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
